英文,中文(DM),中文(github),中文(内部),日文
https://github.com/DominikDoom/a1111-sd-webui-tagcomplete.git,,,,https://github.com/DominikDoom/a1111-sd-webui-tagcomplete.git
##,,,,##
Video FPS,视频 FPS,视频 FPS,视频 FPS,
Turn on pin_memory for DataLoader. Makes training slightly faster but can increase memory usage.,为 DataLoader 开启 pin_memory（增加内存占用换取训练加速）,打开 DataLoader 的 pin_memeory (稍微加快训练速度，但会增加内存消耗),打开 DataLoader 的 pin_memeory (稍微加快训练速度，但会增加内存消耗),DataLoaderのpin_memoryをONにします。トレーニングが若干速くなりますが、メモリ使用量が増加する可能性があります。
Live preview display period,,,实时预览的间隔,
Save Checkpoint to Subdirectory,,,,Checkpointをサブディレクトリに保存
Extra networks tab order,附加网络标签的顺序,附加网络标签的顺序,附加网络标签的顺序,追加ネットワークのタブ順序
"mklink /j ""<path_to_pykrita>\krita_diff"" ""D:\StableDiffusion\clean install\webui\extensions\auto-sd-paint-ext\frontends\krita\krita_diff""\nmklink ""<path_to_pykrita>\krita_diff.desktop"" ""D:\StableDiffusion\clean install\webui\extensions\auto-sd-paint-ext\frontends\krita\krita_diff.desktop""",,,,"mklink /j ""<path_to_pykrita>\krita_diff"" ""D:\StableDiffusion\clean install\webui\extensions\auto-sd-paint-ext\frontends\krita\krita_diff""\nmklink ""<path_to_pykrita>\krita_diff.desktop"" ""D:\StableDiffusion\clean install\webui\extensions\auto-sd-paint-ext\frontends\krita\krita_diff.desktop"""
Interrogate\nCLIP,CLIP 提示词反推,　　CLIP　　\n反推提示词,　　CLIP　　\n反推提示词,CLIPによる解析
Jinja2 templates is an experimental feature for advanced template generation. It is not recommended for general use unless you are comfortable with writing scripts.,Jinja2 模板是一个用于高级模板生成的实验特性。如果不熟悉编写脚本，正常使用时不推荐启用,Jinja2 模板是一个用于高级模板生成的实验特性。如果不熟悉编写脚本，正常使用时不推荐启用,Jinja2 模板是一个用于高级模板生成的实验特性。如果不熟悉编写脚本，正常使用时不推荐启用,Jinja2テンプレートは、高度なテンプレート生成のための実験的な機能です。スクリプトを書くことに慣れていない限り、一般的な使用はお勧めしません。
"New value, with advanced expression support ? _to",,,,高度な式サポートを持つ新しい値 ? _to
Hypernetwork strengths,超网络强度,超网络强度,超网络强度,
No interpolation,无插值,无插值,无插值,補間なし
Import Background Images,导入 背景图像,导入 背景图像,导入 背景图像,
af,,,,af
Use common negative prompt,使用公共负面提示词,,,共通のネガティブプロンプトを使用
ControlNet v1.1.231,扩散控制网络(ControlNet),,,
"To activate inspiration function, you need get ""inspiration"" images first.",,,,インスピレーション機能を有効にするには、まず「インスピレーション」画像を取得する必要があります。
Translation file uses old 3-column translation format instead of the new 2-column one,使用旧的三列翻译文件格式取代新的两列格式,使用旧的三列翻译文件格式取代新的两列格式,使用旧的三列翻译文件格式取代新的两列格式,古い３カラムフォーマットの翻訳ファイルの代わりに新しい２カラムフォーマットのを使用する
will then become available.,文件放在相应目录就能被识别,文件放在相应目录就能被识别,文件放在相应目录就能被识别,こうすることで利用可能になります。
Resume timestring,,,,時間文字列から再開
Show Button On Thumb Mode,在 缩略预览图 中显示额外按钮,,悬停时显示本插件按钮,
? Setting,? 侧边栏设置,,,
Model Scale,,,,モデルの大きさ
Directory for saving init images when using img2img,保存 图生图 原始输入图像的目录,,图生图时初始图片保存路径,
txt2img_width,宽度,,,
ex B.,例子B：,,,例えば、B.
You must enter text prompts to enable groundingdino. Otherwise this extension will fall back to point prompts only.,必须在此处输入提示词(prompt)才能激活 GroundingDINO 算法，否则将仅使用提示点(point prompt),,你需要输入提示词，否则GroundingDINO将不生效,
Embedding Merge,,,,Embedding Merge
Stop,停止,,,停止
sdweb-merge-board,合并面板,合并面板,合并面板,
Show Ad,显示广告,显示广告,显示广告,
Step length multiplier every cycle,,,,サイクルごとのステップ長の乗数
spaceship-fareast,,,,宇宙船演算子(fareast)
Output Directory,,,,出力ディレクトリ
portrait-fineart,,,,肖像画-ファインアート
Marginbase,Marginbase,,,
Theme,Kitchen界面设置,主题,主题,
New defaults will apply after you restart the UI.,,,新的默认值会在你重启UI后生效,
Checkpoint name,Stable Diffusion 模型(ckpt) 名称,模型(ckpt)名,模型(ckpt)名,Checkpoint名
"how fast should the training go. Low values will take longer to train, high values may fail to converge (not generate accurate results) and/or may break the embedding (This has happened if you see Loss: nan in the training info textbox. If this happens, you need to manually restore your embedding from an older not-broken backup).\n\nYou can set a single numeric value, or multiple learning rates using the syntax:\n\n   rate_1:max_steps_1, rate_2:max_steps_2, ...\n\nEG:   0.005:100, 1e-3:1000, 1e-5\n\nWill train with rate of 0.005 for first 100 steps, then 1e-3 until 1000 steps, then 1e-5 for all remaining steps.","训练应该多快。低值将需要更长的时间来训练，高值可能无法收敛（无法产生准确的结果）以及/也许可能会破坏 Embedding（如果你在训练信息文本框中看到 Loss: nan 就会发生这种情况。如果发生这种情况，你需要从较旧的未损坏的备份手动恢复 Embedding）\n\n你可以使用以下语法设置单个数值或多个学习率：\n\n   率1:步限1, 率2:步限2, ...\n\n如：   0.005:100, 1e-3:1000, 1e-5\n\n即前 100 步将以 0.005 的速率训练，接着直到 1000 步为止以 1e-3 训练，然后剩余所有步以 1e-5 训练","训练应该多快。低值将需要更长的时间来训练，高值可能无法收敛（无法产生准确的结果）以及/也许可能会破坏 Embedding（如果你在训练信息文本框中看到 Loss: nan 就会发生这种情况。如果发生这种情况，你需要从较旧的未损坏的备份手动恢复 Embedding）\n\n你可以使用以下语法设置单个数值或多个学习率：\n\n   率1:步限1, 率2:步限2, ...\n\n如：   0.005:100, 1e-3:1000, 1e-5\n\n即前 100 步将以 0.005 的速率训练，接着直到 1000 步为止以 1e-3 训练，然后剩余所有步以 1e-5 训练","训练应该多快。低值将需要更长的时间来训练，高值可能无法收敛（无法产生准确的结果）以及/也许可能会破坏 Embedding（如果你在训练信息文本框中看到 Loss: nan 就会发生这种情况。如果发生这种情况，你需要从较旧的未损坏的备份手动恢复 Embedding）\n\n你可以使用以下语法设置单个数值或多个学习率：\n\n   率1:步限1, 率2:步限2, ...\n\n如：   0.005:100, 1e-3:1000, 1e-5\n\n即前 100 步将以 0.005 的速率训练，接着直到 1000 步为止以 1e-3 训练，然后剩余所有步以 1e-5 训练",
ControlNet v1.1.232,扩散控制网络(ControlNet),,,
length,,,,長さ
VRAM usage polls per second during generation.,,,每秒轮询显存使用率的次数,
Show output folder video,,,,Show output folder video
Use raw CLIP token to calculate token count (without emphasis or embeddings),,,,未加工のCLIPトークンを使用してトークン数を算出する (強調やembeddingの区別なし)
zh-CN,,,,zh-CN
Resize Mode,画面缩放模式,画面缩放模式,画面缩放模式,リサイズモード
GroundingDINO Box Threshold,GroundingDINO 选区阈值,,GroundingDINO包围盒阈值,
Cache LDSR model in memory,把LDSR模型缓存在内存中,把LDSR模型缓存在内存中,把LDSR模型缓存在内存中,LDSRモデルをメモリにキャッシュ
Move ControlNet images to CPU (if applicable),条件允许时，将 扩散控制网络(ControlNet) 移至 内存,如果可以的话将ControlNet图像用CPU处理,尝试用CPU计算ControlNet,ControlNetの画像をCPUに移動 (可能な場合)
ControlNet v1.1.226,扩散控制网络(ControlNet),,,
ControlNet v1.1.142,扩散控制网络(ControlNet),,,
info,,,,info
Dropdown,下拉列表,下拉列表,下拉列表,ドロップダウン
Gradio theme (requires restart),Gradio 的主题配色（使用 Kitchen Theme 或其他界面美化插件时请保持默认，需要保存设置并重启）,,Gradio主题（需要重启）,
resize_mode,,,,サイズ変更モード
range,,,,範囲
Colorfillsecondary,Colorfillsecondary,,,
epsilon,,,,エプシロン
Guess Mode,"无引导模式（需在设置中启用""基于CFG的引导""）","无提示词(prompt)模式（需在设置中启用""基于CFG的引导""）","无提示词(prompt)模式（需在设置中启用""基于CFG的引导""）",推測モード
Save a copy of image before doing face restoration.,在进行面部修复之前保存图像副本,在进行面部修复之前保存图像副本,在进行面部修复之前保存图像副本,顔の修復を行う前に元画像のコピーを保存しておく。
Feather,,羽化,羽化,
Number of clusters:,簇数：,簇数：,簇数：,クラスターの数:
Mimic Scale Scheduler,模拟提示词相关性(Mimic CFG Scale) 调度函数（一般设为“半区间余弦递增”）,,,
Perspective Flip,,,,透視投影反転
ControlNet-1,控制网络-1,,,
Config Presets,预设配置,预设配置,预设配置,
fixed,,固定,固定,修正
Fall-off exponent (lower=higher detail),衰减指数(越小细节越好),衰减指数(越小细节越好),衰减指数(越小细节越好),フォールオフ指数(低いほど細かい)
- Joints and Limbs,--关节和肢体--,--关节和肢体--,--关节和肢体--,
Small script for AUTOMATIC1111/stable-diffusion-webui to create images that exists between seeds.,一个用于生成不同随机种子之间的渐变过程的小脚本,一个用于生成不同随机种子之间的渐变过程的小脚本,一个用于生成不同随机种子之间的渐变过程的小脚本,Small script for AUTOMATIC1111/stable-diffusion-webui to create images that exists between seeds.
